,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional
115,94,"Carey, Vernon",C,20,WAS,3,27,15.0,0.526,0.0,1.429,20.8,8.1,14.4,0.0,1.8,3.1,14.9,22.1,,0.0,0.0,0.0,0.049,,-3.2,-4.1,-7.3,0.0,careyve01
116,95,"Carter, Jevon",PG,26,TOT,66,905,9.6,0.531,0.672,0.071,1.7,11.2,6.6,14.0,1.3,1.4,11.5,14.0,,0.5,0.7,1.2,0.062,,-1.8,-0.4,-2.2,-0.1,carteje01
117,95,"Carter, Jevon",PG,26,BRK,46,552,6.5,0.462,0.73,0.057,1.8,11.2,6.6,10.9,1.2,1.6,12.7,15.9,,-0.4,0.4,-0.1,-0.005,,-3.6,-0.9,-4.4,-0.3,carteje01
118,95,"Carter, Jevon",PG,26,MIL,20,353,14.4,0.679,0.544,0.101,1.5,11.2,6.5,18.8,1.4,1.1,8.8,10.9,,0.9,0.3,1.2,0.167,,0.9,0.3,1.2,0.3,carteje01
119,96,"Carter, Wendell",PF,22,ORL,62,1852,18.4,0.601,0.313,0.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.9,,2.6,2.4,5.0,0.129,,1.0,0.6,1.6,1.7,cartewe01
120,97,"Caruso, Alex",SG,27,CHI,41,1147,11.7,0.528,0.492,0.285,3.3,11.2,7.3,18.5,3.0,1.1,16.5,13.3,,0.7,1.2,2.0,0.082,,-2.2,2.3,0.2,0.6,carusal01
121,98,"Cauley-Stein, Willie",C,28,TOT,20,183,8.3,0.474,0.057,0.057,7.9,16.4,12.2,7.5,1.7,1.5,16.3,10.6,,0.0,0.3,0.2,0.066,,-4.1,1.1,-3.0,0.0,caulewi01
122,98,"Cauley-Stein, Willie",C,28,DAL,18,177,8.4,0.474,0.057,0.057,8.2,15.7,11.9,7.0,1.7,1.5,16.3,10.9,,0.0,0.2,0.2,0.063,,-4.1,0.9,-3.1,0.0,caulewi01
123,98,"Cauley-Stein, Willie",C,28,PHI,2,6,4.2,,,,0.0,36.6,18.6,20.4,0.0,0.0,,0.0,,0.0,0.0,0.0,0.136,,-4.6,5.8,1.2,0.0,caulewi01
124,99,"Caver, Ahmad",SG,25,IND,1,1,76.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,,0.0,0.0,0.0,1.204,,31.0,5.9,36.9,0.0,caverah01
125,100,"Champagnie, Justin",SF,20,TOR,36,281,13.6,0.571,0.418,0.134,13.5,14.3,13.9,5.4,1.4,1.4,10.1,12.0,,0.5,0.3,0.8,0.138,,-1.3,-0.7,-2.0,0.0,champju01
126,101,"Cheatham, Zylan",SF,26,UTA,1,5,-23.8,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,,-0.1,0.0,-0.1,-0.61,,-19.3,-11.3,-30.6,0.0,cheatzy01
127,102,"Chiozza, Chris",PG,26,GSW,34,372,4.4,0.407,0.654,0.037,2.7,7.7,5.3,22.5,1.7,0.0,28.0,13.4,,-0.5,0.5,0.0,-0.004,,-5.7,-0.2,-6.0,-0.4,chiozch01
128,103,"Chriss, Marquese",PF,24,DAL,34,346,14.8,0.518,0.187,0.246,10.6,22.5,16.5,7.7,1.9,3.1,10.3,21.5,,0.2,0.6,0.8,0.108,,-3.8,0.0,-3.8,-0.2,chrisma01
129,104,"Christopher, Josh",SG,20,HOU,74,1334,12.2,0.534,0.378,0.226,4.3,11.1,7.7,17.3,2.3,0.9,17.2,21.1,,-0.4,0.7,0.3,0.01,,-2.2,-1.3,-3.5,-0.5,chrisjo01
130,105,"Clark, Gary",PF,27,NOP,38,378,11.4,0.547,0.795,0.114,6.6,20.1,13.2,6.4,1.7,1.8,9.8,11.6,,0.3,0.4,0.7,0.092,,0.1,0.0,0.1,0.2,clarkga01
131,106,"Clarke, Brandon",PF,25,MEM,64,1246,23.7,0.66,0.049,0.291,11.1,17.8,14.4,10.3,1.5,4.9,6.3,17.7,,4.4,1.9,6.3,0.241,,3.1,1.1,4.2,2.0,clarkbr01
132,107,"Clarkson, Jordan",SG,29,UTA,79,2141,14.9,0.532,0.536,0.156,3.5,10.2,7.0,14.5,1.5,0.7,9.8,26.8,,1.5,2.0,3.5,0.079,,0.5,-1.2,-0.6,0.7,clarkjo01
133,108,"Claxton, Nic",C,22,BRK,47,974,18.6,0.672,0.0,0.352,10.4,18.9,14.8,6.4,1.2,4.7,11.1,15.1,,2.3,1.2,3.5,0.171,,0.3,0.2,0.5,0.6,claxtni01
134,109,"Coffey, Amir",SG,24,LAC,69,1567,13.0,0.598,0.545,0.251,1.8,11.2,6.7,11.4,1.2,0.8,8.0,15.8,,2.3,1.5,3.8,0.116,,-0.3,0.0,-0.3,0.7,coffeam01
135,110,"Collins, John",PF,24,ATL,54,1663,18.7,0.61,0.273,0.262,6.2,21.5,13.9,8.9,1.0,3.0,7.7,20.5,,3.6,1.4,5.1,0.146,,1.5,0.0,1.5,1.5,collijo01
136,111,"Collins, Zach",C,24,SAS,28,502,16.4,0.594,0.265,0.419,9.5,22.5,16.0,16.3,1.2,3.8,19.7,19.2,,0.6,0.7,1.2,0.118,,-1.2,1.0,-0.2,0.2,colliza01
137,112,"Collison, Darren",PG,34,LAL,3,37,-0.2,0.286,0.429,0.0,0.0,11.6,5.8,6.8,1.3,0.0,12.5,9.3,,-0.1,0.0,-0.1,-0.07,,-10.0,-0.9,-10.9,-0.1,collida01
138,113,"Conley, Mike",PG,34,UTA,72,2058,17.2,0.572,0.523,0.205,2.6,8.8,5.8,27.7,2.3,0.9,12.5,20.9,,4.4,2.3,6.7,0.157,,2.4,0.7,3.1,2.7,conlemi01
139,114,"Connaughton, Pat",SF,29,MIL,65,1691,13.4,0.62,0.746,0.109,2.9,14.0,8.6,6.6,1.7,0.9,6.3,14.0,,2.8,1.6,4.4,0.125,,0.8,0.3,1.2,1.4,connapa01
140,115,"Cook, Tyler",PF,24,CHI,20,200,13.0,0.643,0.0,0.842,9.1,20.7,14.9,2.0,1.0,1.7,11.8,13.0,,0.4,0.2,0.5,0.127,,-3.0,-1.1,-4.1,-0.1,cookty01
141,116,"Cooper, Sharife",PG,20,ATL,13,39,-5.4,0.25,0.429,0.0,0.0,14.0,7.0,16.3,0.0,0.0,26.3,21.3,,-0.2,0.0,-0.2,-0.297,,-11.3,-5.0,-16.3,-0.1,coopesh01
142,117,"Cornelie, Petr",PF,26,DEN,13,38,9.6,0.418,0.533,0.267,21.3,19.9,20.6,10.8,1.3,2.4,19.3,24.0,,-0.1,0.0,0.0,-0.015,,-6.1,-2.7,-8.8,-0.1,cornepe01
143,118,"Cousins, DeMarcus",C,31,TOT,48,717,18.2,0.567,0.377,0.386,11.7,29.1,20.6,15.2,2.4,2.7,18.3,28.1,,0.3,1.3,1.6,0.104,,-1.8,0.2,-1.6,0.1,couside01
144,118,"Cousins, DeMarcus",C,31,MIL,17,287,19.0,0.572,0.407,0.322,9.1,26.8,18.1,9.3,2.7,2.7,10.6,22.4,,0.5,0.5,1.0,0.162,,-0.3,0.9,0.6,0.2,couside01
145,118,"Cousins, DeMarcus",C,31,DEN,31,431,17.6,0.565,0.359,0.422,13.4,30.6,22.3,19.1,2.2,2.7,22.0,31.9,,-0.2,0.8,0.6,0.065,,-2.8,-0.2,-3.1,-0.1,couside01
146,119,"Covington, Robert",PF,31,TOT,71,1939,12.4,0.572,0.681,0.139,3.3,18.9,11.0,6.8,2.6,4.4,12.4,13.5,,0.8,2.4,3.2,0.08,,-1.6,1.7,0.2,1.1,covinro01
147,119,"Covington, Robert",PF,31,POR,48,1431,10.0,0.519,0.685,0.107,3.0,18.6,10.5,6.7,2.5,4.3,14.2,12.4,,-0.3,1.4,1.1,0.037,,-2.8,1.6,-1.2,0.3,covinro01
148,119,"Covington, Robert",PF,31,LAC,23,509,19.4,0.677,0.673,0.204,3.9,20.0,12.2,7.0,2.8,4.7,8.8,16.7,,1.1,1.0,2.1,0.2,,1.9,2.2,4.1,0.8,covinro01
149,120,"Craig, Torrey",SF,31,TOT,78,1596,11.0,0.556,0.531,0.118,5.9,15.4,10.7,7.6,1.4,2.0,12.6,14.3,,0.9,1.4,2.3,0.07,,-1.7,-0.1,-1.8,0.1,craigto01
150,120,"Craig, Torrey",SF,31,IND,51,1034,10.8,0.555,0.491,0.125,6.3,14.9,10.5,7.7,1.1,1.6,11.6,13.9,,0.8,0.4,1.2,0.056,,-1.6,-0.6,-2.2,-0.1,craigto01
151,120,"Craig, Torrey",SF,31,PHO,27,562,11.4,0.558,0.6,0.106,5.3,16.4,11.0,7.5,1.9,2.7,14.3,15.0,,0.2,1.0,1.1,0.096,,-1.9,0.9,-1.1,0.1,craigto01
152,121,"Crowder, Jae",PF,31,PHO,67,1886,11.3,0.541,0.671,0.165,1.8,18.0,10.1,8.3,2.4,1.4,8.6,14.6,,0.9,3.4,4.3,0.11,,-1.3,2.4,1.1,1.5,crowdja01
153,122,"Culver, Jarrett",SG,22,MEM,37,338,8.7,0.433,0.348,0.252,3.9,11.1,7.4,13.0,2.8,1.3,11.8,20.6,,-0.4,0.5,0.1,0.012,,-5.7,0.3,-5.4,-0.3,culveja01
154,123,"Cumberland, Jarron",SG,24,POR,3,12,8.4,0.5,0.5,0.0,8.8,19.0,13.7,11.6,0.0,0.0,0.0,7.2,,0.0,0.0,0.0,0.079,,-4.4,-2.2,-6.6,0.0,cumbeja01
155,124,"Cunningham, Cade",SG,20,DET,64,2088,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,,-2.4,1.9,-0.5,-0.011,,-1.1,-0.5,-1.6,0.2,cunnica01
156,125,"Curry, Seth",SG,31,TOT,64,2134,13.7,0.615,0.506,0.127,1.1,9.1,5.2,16.3,1.2,0.6,12.3,18.5,,2.7,1.5,4.2,0.095,,0.3,-0.9,-0.6,0.8,curryse01
157,125,"Curry, Seth",SG,31,PHI,45,1566,13.3,0.603,0.473,0.138,1.2,9.4,5.4,17.7,1.1,0.6,13.0,18.5,,1.7,1.1,2.9,0.088,,-0.1,-0.9,-1.0,0.4,curryse01
158,125,"Curry, Seth",SG,31,BRK,19,569,14.6,0.645,0.588,0.1,0.8,8.4,4.7,12.5,1.4,0.5,10.2,18.5,,1.0,0.3,1.3,0.112,,1.5,-0.8,0.7,0.4,curryse01
159,126,"Curry, Stephen",PG,33,GSW,64,2211,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1.0,13.2,30.8,,4.6,3.4,8.0,0.173,,5.4,0.4,5.8,4.4,curryst01
160,127,"Davis, Anthony",C,28,LAL,40,1404,23.9,0.578,0.101,0.351,8.1,22.0,15.1,14.7,1.7,5.7,9.3,27.1,,2.6,2.0,4.5,0.155,,2.6,1.2,3.8,2.0,davisan02
161,128,"Davis, Ed",C,32,CLE,31,201,9.3,0.632,0.0,0.875,7.9,26.9,17.6,4.5,0.7,4.0,18.4,6.0,,0.2,0.3,0.5,0.126,,-4.2,2.5,-1.8,0.0,davised01
162,129,"Davis, Terence",SG,24,SAC,30,536,14.6,0.543,0.558,0.165,2.2,17.0,9.5,11.9,2.2,1.8,10.3,25.6,,0.0,0.5,0.5,0.044,,-0.6,-0.4,-0.9,0.2,daviste02
163,130,"Deck, Gabriel",PF,26,OKC,7,56,11.5,0.643,0.286,0.0,1.8,9.3,5.5,13.7,0.9,0.0,12.5,12.3,,0.1,0.0,0.1,0.08,,-1.2,-1.3,-2.5,0.0,deckga01
164,131,"Dedmon, Dewayne",C,32,MIA,67,1065,15.9,0.632,0.162,0.345,11.4,29.4,20.6,6.7,1.1,4.2,17.3,16.9,,1.5,2.0,3.5,0.157,,-2.2,1.1,-1.0,0.3,dedmode01
165,132,"Dekker, Sam",PF,27,TOR,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.003,,-6.2,-3.4,-9.6,0.0,dekkesa01
166,133,"DeLaurier, Javin",C,23,MIL,1,3,15.6,,,,0.0,34.6,17.7,0.0,16.0,0.0,,0.0,,0.0,0.0,0.0,0.26,,-4.8,11.8,7.0,0.0,delauja01
167,134,"DeRozan, DeMar",PF,32,CHI,76,2743,23.1,0.59,0.093,0.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,,7.0,1.8,8.8,0.154,,3.4,-0.9,2.5,3.1,derozde01
168,135,"Diakite, Mamadi",PF,25,OKC,13,188,11.6,0.54,0.106,0.234,9.2,23.3,16.1,1.6,1.3,4.5,11.9,13.5,,0.1,0.3,0.3,0.08,,-5.9,0.9,-5.0,-0.1,diakima01
169,136,"Diallo, Cheick",C,25,DET,3,31,12.3,0.517,0.0,0.75,13.3,29.4,20.9,0.0,1.6,0.0,8.6,16.1,,0.0,0.0,0.1,0.108,,-4.2,-3.3,-7.5,0.0,diallch01
170,137,"Diallo, Hamidou",SG,23,DET,58,1269,15.7,0.541,0.177,0.266,5.6,18.7,11.8,9.8,2.7,1.2,9.0,21.8,,0.6,1.5,2.1,0.079,,-1.2,0.7,-0.5,0.5,diallha01
171,138,"Dieng, Gorgui",C,32,ATL,44,371,17.3,0.624,0.607,0.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,,0.8,0.4,1.2,0.155,,1.4,0.8,2.1,0.4,dienggo01
172,139,"Dinwiddie, Spencer",PG,28,TOT,67,1980,15.1,0.543,0.449,0.343,2.6,13.0,7.8,25.7,1.1,0.6,10.9,21.4,,2.7,1.4,4.1,0.098,,0.8,-0.4,0.3,1.1,dinwisp01
173,139,"Dinwiddie, Spencer",PG,28,WAS,44,1330,13.2,0.501,0.459,0.291,3.0,14.0,8.6,27.5,1.0,0.4,11.6,21.0,,0.9,0.7,1.6,0.058,,-0.2,-0.7,-0.9,0.3,dinwisp01
174,139,"Dinwiddie, Spencer",PG,28,DAL,23,650,19.0,0.624,0.428,0.449,1.5,10.8,6.2,22.0,1.3,0.8,9.6,22.3,,1.8,0.7,2.5,0.182,,2.8,0.1,2.9,0.8,dinwisp01
175,140,"DiVincenzo, Donte",SG,25,TOT,42,1005,11.3,0.51,0.649,0.247,4.3,14.0,9.1,16.1,2.3,0.7,16.2,18.9,,-0.1,0.9,0.7,0.035,,-1.8,-0.5,-2.3,-0.1,divindo01
176,140,"DiVincenzo, Donte",SG,25,MIL,17,341,7.9,0.47,0.627,0.229,5.7,12.8,9.3,11.3,1.5,0.8,17.7,19.8,,-0.4,0.3,-0.1,-0.009,,-3.8,-1.6,-5.5,-0.3,divindo01
177,140,"DiVincenzo, Donte",SG,25,SAC,25,665,13.0,0.532,0.661,0.257,3.6,14.5,9.0,18.6,2.7,0.7,15.4,18.5,,0.2,0.6,0.8,0.058,,-0.8,0.2,-0.6,0.2,divindo01
178,141,"Dončić, Luka",PG,22,DAL,65,2301,25.1,0.571,0.406,0.349,2.7,26.0,14.3,46.0,1.6,1.4,15.3,37.4,,3.8,3.8,7.6,0.159,,6.4,1.8,8.2,5.9,doncilu01
179,142,"Dort, Luguentz",SG,22,OKC,51,1665,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1.0,9.8,23.3,,0.2,1.1,1.4,0.04,,-1.5,-0.7,-2.3,-0.1,dortlu01
180,143,"Dosunmu, Ayo",SG,22,CHI,77,2110,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,,1.7,1.3,3.0,0.069,,-1.9,-0.1,-2.0,0.0,dosunay01
181,144,"Dotson, Damyean",SG,27,NYK,2,21,6.4,0.5,0.25,0.0,0.0,10.4,5.1,6.9,0.0,0.0,0.0,8.3,,0.0,0.0,0.0,0.045,,-3.7,-1.2,-4.9,0.0,dotsoda01
182,145,"Dotson, Devon",PG,22,CHI,11,85,9.8,0.538,0.391,0.391,1.3,10.5,6.0,23.9,0.6,0.0,15.6,16.6,,0.1,0.0,0.1,0.048,,-3.4,-1.5,-4.9,-0.1,dotsode01
183,146,"Doumbouya, Sekou",PF,21,LAL,2,16,40.7,0.717,0.25,0.5,13.5,26.8,20.2,0.0,9.0,11.1,17.0,31.6,,0.0,0.1,0.1,0.3,,8.8,10.0,18.8,0.1,doumbse01
184,147,"Dowtin, Jeff",PG,24,TOT,9,108,6.8,0.353,0.346,0.077,7.9,9.8,8.9,12.7,2.2,0.9,15.7,12.8,,-0.1,0.1,0.0,-0.01,,-5.7,0.1,-5.6,-0.1,dowtije01
185,147,"Dowtin, Jeff",PG,24,GSW,4,28,9.5,0.5,0.167,0.0,4.0,22.7,13.7,14.6,0.0,3.4,14.3,10.9,,0.0,0.0,0.1,0.089,,-4.3,0.7,-3.6,0.0,dowtije01
186,147,"Dowtin, Jeff",PG,24,MIL,1,3,-12.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,,0.0,0.0,0.0,-0.344,,-15.7,-6.9,-22.6,0.0,dowtije01
187,147,"Dowtin, Jeff",PG,24,ORL,4,77,6.5,0.327,0.368,0.105,9.6,5.5,7.5,12.5,3.1,0.0,16.8,13.4,,-0.1,0.1,-0.1,-0.033,,-5.8,0.2,-5.6,-0.1,dowtije01
188,148,"Dozier, PJ",SG,25,DEN,18,340,8.7,0.463,0.485,0.131,4.8,15.6,10.3,11.3,1.6,1.6,11.0,15.2,,-0.1,0.4,0.3,0.038,,-3.0,1.0,-2.0,0.0,doziepj01
189,149,"Dragić, Goran",PG,35,TOT,21,497,10.0,0.474,0.417,0.219,2.9,11.3,7.1,22.9,1.9,0.7,17.0,17.2,,-0.1,0.4,0.4,0.035,,-2.8,-0.5,-3.3,-0.2,dragigo01
190,149,"Dragić, Goran",PG,35,TOR,5,90,16.2,0.521,0.412,0.294,2.3,15.3,8.4,14.4,2.8,1.1,2.5,18.7,,0.2,0.1,0.3,0.162,,-0.6,2.6,1.9,0.1,dragigo01
191,149,"Dragić, Goran",PG,35,BRK,16,408,8.6,0.46,0.419,0.197,3.0,10.4,6.8,24.7,1.7,0.7,20.6,16.9,,-0.2,0.3,0.1,0.006,,-3.3,-1.1,-4.4,-0.3,dragigo01
192,150,"Drummond, Andre",C,28,TOT,73,1437,21.0,0.574,0.007,0.379,18.0,34.1,26.2,13.7,2.7,4.2,18.5,19.0,,2.0,3.1,5.1,0.17,,-0.1,1.4,1.3,1.2,drumman01
193,150,"Drummond, Andre",C,28,PHI,49,902,19.3,0.544,0.008,0.345,17.1,36.1,26.8,16.0,3.1,4.5,22.4,17.6,,0.7,2.2,2.9,0.153,,-1.2,2.5,1.3,0.7,drumman01
194,150,"Drummond, Andre",C,28,BRK,24,535,23.8,0.61,0.005,0.421,19.4,30.6,25.1,9.8,2.0,3.8,13.5,21.5,,1.3,0.9,2.2,0.199,,1.7,-0.5,1.2,0.4,drumman01
195,151,"Duarte, Chris",SG,24,IND,55,1541,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,,0.2,0.7,0.9,0.029,,-1.2,-1.1,-2.3,-0.1,duartch01
196,152,"Duke, David",PG,22,BRK,22,341,10.0,0.444,0.343,0.194,9.8,11.5,10.7,6.6,2.0,1.8,7.1,15.9,,0.0,0.3,0.3,0.048,,-3.0,-0.9,-3.9,-0.2,dukeda01
197,153,"Dunn, Kris",PG,27,POR,14,336,12.5,0.482,0.108,0.176,2.8,13.6,8.0,35.1,3.3,0.9,22.5,18.3,,-0.1,0.3,0.2,0.024,,-4.6,-0.8,-5.4,-0.3,dunnkr01
198,154,"Durant, Kevin",PF,33,BRK,55,2047,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,,6.4,2.0,8.4,0.198,,6.4,0.7,7.2,4.8,duranke01
199,155,"Echenique, Jaime",C,24,WAS,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.012,,-5.5,-3.0,-8.5,0.0,echenja01
200,156,"Edwards, Anthony",SG,20,MIN,72,2466,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2.0,1.8,12.2,26.4,,1.8,2.4,4.3,0.084,,1.6,-0.4,1.2,2.0,edwaran01
201,157,"Edwards, Carsen",SG,23,DET,4,79,5.5,0.378,0.533,0.033,2.6,5.8,4.1,26.2,1.2,0.0,14.1,19.2,,-0.1,0.0,-0.1,-0.075,,-6.0,-3.4,-9.3,-0.1,edwarca01
202,158,"Edwards, Kessler",SF,21,BRK,48,987,8.3,0.516,0.509,0.071,5.0,13.8,9.5,4.1,1.4,2.2,13.2,13.8,,-0.2,0.9,0.6,0.031,,-3.1,-0.8,-3.8,-0.5,edwarke02
203,159,"Edwards, Rob",SG,25,OKC,2,11,-0.8,0.375,1.0,0.0,0.0,28.5,14.0,0.0,0.0,0.0,20.0,19.6,,-0.1,0.0,0.0,-0.181,,-8.3,-2.9,-11.2,0.0,edwarro01
204,160,"Elleby, CJ",SF,21,POR,58,1174,9.2,0.491,0.409,0.273,6.0,15.6,10.6,10.6,1.5,1.6,14.0,14.8,,-0.1,0.5,0.4,0.016,,-3.8,-1.5,-5.3,-1.0,ellebcj01
205,161,"Ellington, Wayne",SG,34,LAL,43,810,9.9,0.593,0.89,0.046,1.3,8.9,5.1,5.0,1.4,0.5,7.3,13.8,,0.6,0.4,1.0,0.062,,-0.7,-0.6,-1.4,0.1,ellinwa01
206,162,"Embiid, Joel",C,27,PHI,68,2297,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,,7.9,4.1,12.0,0.252,,7.2,2.0,9.2,6.5,embiijo01
207,163,"Ennis, James",SF,31,TOT,7,56,17.7,0.553,0.333,0.208,9.9,13.1,11.6,7.4,1.7,3.1,7.1,22.0,,0.1,0.1,0.1,0.114,,-0.1,-1.0,-1.1,0.0,ennisja01
208,163,"Ennis, James",SF,31,BRK,2,14,14.7,0.357,0.286,0.0,16.0,22.7,19.4,0.0,3.5,6.4,0.0,21.5,,0.0,0.0,0.0,0.034,,-0.5,-0.6,-1.1,0.0,ennisja01
209,163,"Ennis, James",SF,31,LAC,2,28,26.3,0.784,0.364,0.364,7.8,11.0,9.5,0.0,1.7,3.0,7.3,21.6,,0.1,0.0,0.2,0.277,,3.7,0.3,4.0,0.0,ennisja01
210,163,"Ennis, James",SF,31,DEN,3,14,3.7,0.311,0.333,0.167,8.2,7.7,8.0,29.8,0.0,0.0,13.4,23.3,,0.0,0.0,0.0,-0.134,,-7.2,-4.0,-11.1,0.0,ennisja01
211,164,"Eubanks, Drew",C,24,TOT,71,1245,18.0,0.638,0.062,0.35,11.0,22.2,16.5,10.1,1.2,2.8,15.9,17.5,,2.2,1.1,3.4,0.13,,-0.5,-0.9,-1.4,0.2,eubandr01
212,164,"Eubanks, Drew",C,24,SAS,49,595,16.0,0.588,0.05,0.497,11.2,23.4,17.3,11.1,1.0,4.2,19.2,17.0,,0.6,0.8,1.4,0.114,,-1.9,0.7,-1.2,0.1,eubandr01
213,164,"Eubanks, Drew",C,24,POR,22,650,19.9,0.678,0.071,0.241,10.8,21.0,15.7,9.1,1.4,1.5,13.0,18.0,,1.6,0.3,2.0,0.144,,0.8,-2.3,-1.5,0.1,eubandr01
214,165,"Fall, Tacko",C,26,CLE,11,59,11.3,0.398,0.0,0.583,13.4,29.4,21.6,4.6,0.0,9.1,16.6,13.6,,-0.1,0.1,0.1,0.043,,-4.1,0.8,-3.4,0.0,fallta01
215,166,"Favors, Derrick",C,30,OKC,39,653,13.6,0.534,0.088,0.137,9.0,20.2,14.5,5.9,1.3,1.7,4.5,13.4,,0.8,0.7,1.4,0.105,,-2.3,0.3,-2.1,0.0,favorde01
216,167,"Fernando, Bruno",C,23,TOT,30,153,21.2,0.671,0.036,0.436,13.0,26.6,19.8,7.5,0.3,6.5,17.6,22.4,,0.2,0.2,0.4,0.139,,-0.4,0.2,-0.1,0.1,fernabr01
217,167,"Fernando, Bruno",C,23,BOS,20,58,12.6,0.586,0.071,0.357,13.4,14.6,14.0,9.6,0.0,4.7,23.6,16.1,,0.0,0.1,0.1,0.102,,-3.2,0.4,-2.8,0.0,fernabr01
218,167,"Fernando, Bruno",C,23,HOU,10,94,26.5,0.699,0.024,0.463,12.8,34.1,23.4,6.3,0.5,7.6,15.4,26.3,,0.2,0.1,0.3,0.164,,1.3,0.2,1.5,0.1,fernabr01
219,168,"Finney-Smith, Dorian",PF,28,DAL,80,2644,12.5,0.604,0.629,0.12,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,,3.4,3.2,6.6,0.121,,0.1,0.7,0.8,1.9,finnedo01
220,169,"Fitts, Malik",PF,24,TOT,15,63,10.7,0.553,0.526,0.0,3.5,25.2,14.7,12.7,0.0,0.0,9.5,14.6,,0.1,0.1,0.1,0.097,,-0.6,-0.5,-1.1,0.0,fittsma01
221,169,"Fitts, Malik",PF,24,UTA,7,35,-1.6,0.333,0.444,0.0,0.0,30.3,15.6,0.0,0.0,0.0,18.2,13.7,,-0.1,0.0,-0.1,-0.104,,-7.9,-1.9,-9.8,-0.1,fittsma01
222,169,"Fitts, Malik",PF,24,BOS,8,28,26.1,0.75,0.6,0.0,7.9,18.8,13.5,28.6,0.0,0.0,0.0,15.7,,0.2,0.0,0.2,0.348,,8.6,1.2,9.8,0.1,fittsma01
223,170,"Flynn, Malachi",PG,23,TOR,44,537,11.7,0.488,0.492,0.131,1.9,11.3,6.4,18.5,1.9,0.7,6.3,16.5,,0.5,0.5,1.0,0.092,,-1.8,0.4,-1.5,0.1,flynnma01
224,171,"Forbes, Bryn",SG,28,TOT,75,1286,11.5,0.574,0.547,0.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,,0.8,0.6,1.4,0.054,,-0.7,-2.2,-2.9,-0.3,forbebr01
225,171,"Forbes, Bryn",SG,28,SAS,40,676,12.4,0.572,0.51,0.166,0.6,9.2,4.9,8.6,1.2,0.4,9.4,21.9,,0.3,0.4,0.7,0.053,,-0.3,-1.3,-1.6,0.1,forbebr01
226,171,"Forbes, Bryn",SG,28,DEN,35,610,10.6,0.578,0.593,0.156,1.1,4.3,2.7,8.0,0.6,0.3,8.1,20.3,,0.5,0.2,0.7,0.054,,-1.1,-3.2,-4.3,-0.4,forbebr01
227,172,"Ford, Aleem",SF,24,ORL,5,74,0.5,0.35,0.75,0.0,2.8,18.6,10.7,3.8,0.7,0.0,16.7,14.0,,-0.2,0.1,-0.2,-0.103,,-9.1,-2.2,-11.4,-0.2,fordal03
228,173,"Forrest, Trent",PG,23,UTA,60,765,10.9,0.554,0.174,0.31,3.4,10.5,7.1,18.6,1.9,0.7,21.4,12.8,,0.5,0.8,1.3,0.084,,-2.3,1.2,-1.0,0.2,forretr01
229,174,"Fournier, Evan",SG,29,NYK,80,2358,12.3,0.554,0.641,0.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,,1.5,2.2,3.7,0.075,,-0.4,-0.3,-0.7,0.7,fournev01
230,175,"Fox, De'Aaron",PG,24,SAC,59,2084,17.4,0.549,0.228,0.319,1.3,10.9,6.0,26.8,1.6,1.0,11.9,29.1,,1.5,1.0,2.5,0.058,,0.6,-1.2,-0.6,0.7,foxde01
231,176,"Frazier, Melvin",SG,25,OKC,3,120,-0.4,0.313,0.438,0.146,4.2,7.0,5.6,1.2,0.4,0.0,5.5,19.5,,-0.4,0.0,-0.4,-0.16,,-9.7,-6.7,-16.4,-0.4,frazime01
